data,n,p,method,acc,sens,spec,auc,non-zeros
simulate50_50_10_3_data.csv,1000,100,CD_Med,0.627,0.6403162055335968,0.6133603238866396,0.6750032004608664,101
simulate50_50_10_2_data.csv,1000,100,CD_Med,0.661,0.6400817995910021,0.6810176125244618,0.7104558606365481,101
simulate0_10_10_1_data.csv,1000,10,CD_Med,0.625,0.6984435797665369,0.5473251028806584,0.6855114409697203,11
simulate10_10_10_4_data.csv,1000,20,CD_Med,0.582,0.6646942800788954,0.4969574036511156,0.617509031770227,21
simulate10_10_10_5_data.csv,1000,20,CD_Med,0.605,0.5907258064516129,0.6190476190476191,0.6414510528673836,21
simulate5_5_0_3_data.csv,1000,10,CD_Med,0.626,0.6056338028169014,0.6461232604373758,0.6438051769863714,11
simulate5_5_0_2_data.csv,1000,10,CD_Med,0.705,0.800383877159309,0.6012526096033403,0.7006459394371671,11
simulate10_0_10_7_data.csv,1000,10,CD_Med,0.581,0.610204081632653,0.5529411764705883,0.5928131252501001,11
simulate0_10_5_10_data.csv,1000,10,CD_Med,0.6,0.6449704142011834,0.5537525354969574,0.6983448755956166,11
simulate10_0_10_6_data.csv,1000,10,CD_Med,0.562,0.5120967741935484,0.6111111111111112,0.572670650921659,11
simulate5_5_3_7_data.csv,1000,10,CD_Med,0.537,0.502,0.572,0.62444,11
simulate5_5_3_6_data.csv,1000,10,CD_Med,0.611,0.5732217573221757,0.6455938697318008,0.68166169704548,11
simulate5_5_10_8_data.csv,1000,10,CD_Med,0.569,0.5566801619433198,0.5810276679841897,0.6208133971291865,11
simulate5_5_10_9_data.csv,1000,10,CD_Med,0.547,0.401673640167364,0.6800766283524904,0.6234510011382035,11
simulate5_5_5_3_data.csv,1000,10,CD_Med,0.575,0.623046875,0.5245901639344263,0.6008140689036886,11
simulate5_5_5_2_data.csv,1000,10,CD_Med,0.539,0.4330543933054393,0.6360153256704981,0.6309034290386188,11
simulate50_50_0_4_data.csv,1000,100,CD_Med,0.627,0.6277665995975855,0.6262425447316103,0.689020804748971,101
simulate50_50_0_5_data.csv,1000,100,CD_Med,0.594,0.5083333333333333,0.6730769230769231,0.6236197916666666,101
simulate10_0_10_10_data.csv,1000,10,CD_Med,0.579,0.593939393939394,0.5643564356435643,0.5938153815381538,11
simulate5_5_10_2_data.csv,1000,10,CD_Med,0.565,0.6467065868263473,0.48296593186372744,0.6114864459457837,11
simulate5_5_10_3_data.csv,1000,10,CD_Med,0.557,0.6091269841269841,0.5040322580645161,0.6205217133896569,11
simulate10_0_0_5_data.csv,1000,10,CD_Med,0.568,0.655705996131528,0.474120082815735,0.5768708627173011,11
simulate10_0_0_4_data.csv,1000,10,CD_Med,0.581,0.6175298804780877,0.5441767068273092,0.614507832125314,11
simulate0_10_5_1_data.csv,1000,10,CD_Med,0.668,0.7549800796812749,0.5803212851405622,0.7388478215651451,11
simulate10_10_5_4_data.csv,1000,20,CD_Med,0.615,0.59026369168357,0.6390532544378699,0.6576028901664726,21
simulate10_10_5_5_data.csv,1000,20,CD_Med,0.601,0.5943775100401606,0.6075697211155379,0.6371921950751211,21
